,29.71,⸮9⸮8817.00
-411.15,28.41,4212
-411.30,29.66,4225
-410.63,31.76,4236
-409.78,31.85,4248
-409.85,30.30,4259
-410.83,29.70,4272
-410.97,29.00,4283
-409.76,29.02,4295
-406.58,30.46,4306
-408.63,32.13,4318
-409.11,31.43,4330
-407.96,29.35,4341
-409.77,28.74,4354
-414.47,28.11,4365
-410.39,28.98,4377
-409.72,31.28,4388
-409.95,32.87,4401
-402.05,31.70,4412
-409.92,30.29,4424
-414.57,28.88,4435
-411.39,27.93,4448
-408.96,28.24,4459
-412.23,30.69,4471
-409.23,32.29,4483
-407.27,31.14,4494
-408.41,30.10,4506
-408.73,28.85,4517
-411.17,29.14,4530
-413.40,29.35,4541
-409.30,31.86,4553
-408.86,32.38,4564
-407.46,30.44,4577
-410.79,29.20,4588
-413.18,28.01,4600
-412.78,27.87,4612
-408.56,29.69,4624
-410.40,32.15,4635
-403.96,32.71,4646
-405.97,30.74,4659
-410.84,29.86,4670
-412.40,28.75,4682
-411.53,28.30,4694
-410.99,29.71,4706
-407.87,31.42,4717
-406.60,31.15,4729
-412.64,30.09,4741
-410.98,29.22,4753
-409.63,28.76,4764
-409.92,28.93,4776
-411.88,31.39,4788
-409.83,32.20,4800
-406.09,31.51,4811
-407.40,29.69,4823
-411.92,28.59,4835
-413.70,27.84,4846
-411.10,28.08,4858
-407.57,30.92,4870
-409.77,32.23,4882
-406.64,31.18,4893
-410.02,30.24,4905
-410.56,28.93,4917
-409.93,28.65,4929
-411.02,29.32,4940
-412.63,31.71,4953
-410.09,32.03,4964
-403.26,30.33,4976
-408.17,29.14,4987
-413.85,28.29,4999
-413.96,28.03,5011
-408.06,29.63,5022
-411.19,32.09,5035
-406.78,32.58,5046
-408.65,30.55,5058
-409.59,29.53,5069
-409.45,28.70,5082
-412.14,28.08,5093
-411.93,30.18,5105
-405.36,31.41,5116
-405.33,31.50,5129
-410.30,29.66,5140
-412.02,29.20,5152
-412.04,28.63,5164
-408.17,28.91,5175
-406.85,31.18,5187
-413.03,32.59,5198
-407.88,31.73,5211
-405.60,29.94,5222
-410.93,29.04,5234
-412.07,28.24,5245
-411.64,28.35,5258
