txt,MediaLift,MediaDrag
Raw Dataa/V00.00.txt,-7.396940957694099,1475.640749306197
Raw Dataa/V10.95.txt,-7.39088595664467,1473.1049415614755
Raw Dataa/V15.65.txt,-7.320168334849867,1472.5752286657257
Raw Dataa/V27.76.txt,-6.942903970452446,1469.968048446067
Raw Dataa/V33.96.txt,-6.601889799635695,1466.516126536187
Raw Dataa/V38.35.txt,-6.353479052823317,1463.7870655141064
Raw Dataa/V40.40.txt,-6.1341427921782605,1461.5332999999996
Raw Dataa/V45.80.txt,-5.813600000000003,1458.9302863636387
Raw Dataa/V49.90.txt,-5.477057753524336,1453.9620954545444
