319.0,8816
-313482.00,779612.0,11510
-313124.00,779962.0,11523
-312144.00,780286.0,11534
-312542.00,780657.0,11546
-313196.00,780731.0,11557
-312526.00,780375.0,11570
-312180.00,779797.0,11581
-312623.00,779269.0,11593
-313309.00,779167.0,11604
-313330.00,779453.0,11617
-312766.00,779946.0,11628
-312174.00,780421.0,11640
-312692.00,780651.0,11652
-312817.00,780562.0,11664
-312479.00,780122.0,11675
-312659.00,779648.0,11687
-312471.00,779321.0,11699
-313511.00,779454.0,11711
-313659.00,779651.0,11722
-312373.00,780059.0,11735
-312141.00,780386.0,11746
-312178.00,780526.0,11758
-312458.00,780465.0,11769
-313193.00,779924.0,11782
-312874.00,779544.0,11793
-312659.00,779283.0,11805
-313216.00,779308.0,11816
-313194.00,779923.0,11829
-312677.00,780318.0,11840
-312192.00,780490.0,11852
-311877.00,780530.0,11864
-312540.00,780427.0,11876
-313652.00,779902.0,11887
-313253.00,779481.0,11899
-312185.00,779459.0,11911
-312388.00,779681.0,11923
-313737.00,779981.0,11934
-313308.00,780209.0,11947
-312067.00,780476.0,11958
-312396.00,780488.0,11970
-312753.00,780192.0,11981
-313172.00,779905.0,11994
-313317.00,779719.0,12005
-312418.00,779690.0,12017
-313304.00,779835.0,12028
-313301.00,780215.0,12041
-312474.00,780267.0,12052
-312429.00,780273.0,12064
-312356.00,780195.0,12076
-312629.00,780166.0,12088
-313257.00,779937.0,12099
-312920.00,779538.0,12111
-312152.00,779378.0,12123
-313127.00,779502.0,12135
-313280.00,779794.0,12146
-312411.00,780278.0,12158
-312613.00,780529.0,12170
-312380.00,780515.0,12182
-312148.00,780177.0,12193
-313206.00,779898.0,12206
-313399.00,779579.0,12217
-312771.00,779408.0,12229
-312990.00,779426.0,12240
-312803.00,779933.0,12253
-312574.00,780409.0,12264
-312715.00,780549.0,12276
-312435.00,780499.0,12288
-312250.00,780262.0,12299
-312731.00,779702.0,12311
-313251.00,779431.0,12322
-313163.00,779414.0,12335
-312672.00,779728.0,12346
-312471.00,780222.0,12358
-313240.00,780552.0,12369
-312733.00,780551.0,12382
-312244.00,780294.0,12393
-312607.00,779983.0,12405
-312988.00,779759.0,12417
-313052.00,779607.0,12429
-312929.00,779628.0,12440
-312602.00,779944.0,12452
-312481.00,780229.0,12464
-313251.00,780348.0,12476
-312859.00,780426.0,12487
-312357.00,780197.0,12499
-312810.00,779906.0,12511
-313066.00,779826.0,12523
-312749.00,779879.0,12534
-312907.00,779883.0,12547
-312776.00,779970.0,12558
-312432.00,780057.0,12570
-312898.00,780018.0,12581
-313168.00,779973.0,12594
-312777.00,779998.0,12605
-312474.00,780015.0,12617
-312366.00,780258.0,12628
-312768.00,780182.0,12641
-313333.00,780117.0,12652
-312639.00,779977.0,12664
-311891.00,779884.0,12676
-313034.00,779991.0,12688
-313374.00,780122.0,12699
-312849.00,780063.0,12711
-312516.00,779985.0,12723
-312359.00,779963.0,12735
-312823.00,780032.0,12746
-313531.00,779958.0,12759
-313353.00,779876.0,12770
-312211.00,779840.0,12782
-312580.00,779878.0,12793
-313116.00,779976.0,12806
-313051.00,780116.0,12817
-312257.00,780110.0,12829
-312227.00,779969.0,12840
-312776.00,779771.0,12853
-313477.00,779818.0,12864
-313082.00,779735.0,12876
-311948.00,779808.0,12888
-312449.00,780086.0,12900
-313438.00,780156.0,12911
-313312.00,780136.0,12923
-312411.00,780205.0,12935
-311945.00,780117.0,12947
-312315.00,779922.0,12958
-313676.00,779897.0,12971
-313229.00,779853.0,12982
-312091.00,780013.0,12994
-312326.00,780036.0,13005
