txt,MediaLift,MediaDrag
Raw Data\V00.00.txt,-1.0496158192090395,-2.335180180180178
Raw Data\V11.12.txt,0.16134547591069337,-1.5325043885313023
Raw Data\V15.65.txt,0.8745693430656947,-0.19648936170212758
Raw Data\V22.24.txt,3.3130800727934435,2.871459754433836
Raw Data\V27.76.txt,5.628566878980881,6.443540909090909
Raw Data\V33.96.txt,8.985391264786173,11.619390909090903
Raw Data\V38.40.txt,11.74366075488859,15.811574158325753
Raw Data\V40.40.txt,13.416371077762612,18.61327272727271
Raw Data\V42.20.txt,14.82987727272726,20.62476342129209
Raw Data\V45.80.txt,17.982231818181837,25.657504545454525
Raw Data\V49.7.txt,21.73413290851162,30.96832727272725
