txt,MediaLift,MediaDrag
Raw Data\V00.00.txt,202.78058400000054,-1570.037571999997
Raw Data\V11.17.txt,206.56491999999992,-1567.6001680000015
Raw Data\V21.26.txt,207.7758720000002,-1557.9612259999913
Raw Data\V26.62.txt,208.2027059999999,-1550.870749999999
Raw Data\V31.22.txt,209.9526440000002,-1543.113515999997
Raw Data\V36.4.txt,211.8381299999999,-1532.3691299999996
Raw Data\V41.3.txt,212.29619999999994,-1520.968117999999
Raw Data\V52.4.txt,218.8335920000006,-1488.181055999998
Raw Data\V54.40.txt,218.12372800000017,-1482.7356359999967
