txt,MediaLift,MediaDrag
Mediciones/Raw Data/V00.00.txt,5.674521857923485,0.44177434030937274
Mediciones/Raw Data/V25.00.txt,13.212598998634508,-20.066025466120948
Mediciones/Raw Data/V26.01.txt,13.66273928896991,-18.301532514779456
Mediciones/Raw Data/V28.00.txt,14.329362477231346,-17.4538422971741
Mediciones/Raw Data/V30.txt,15.232212107419214,-15.753509571558828
Mediciones/Raw Data/V32.00.txt,16.268503865393352,-14.291675774134788
Mediciones/Raw Data/V34.00.txt,17.78954090909092,-11.733049613108795
Mediciones/Raw Data/V36.00.txt,18.955421412300684,-10.263890909090904
Mediciones/Raw Data/V38.00.txt,20.21603456116416,-8.536464968152865
Mediciones/Raw Data/V40.00.txt,21.64132727272729,-6.63361237488628
Mediciones/Raw Data/V42.00.txt,21.881733966745838,-4.8083819155264775
Mediciones/Raw Data/V44.00.txt,21.881733966745838,-4.8083819155264775
Mediciones/Raw Data/V46.00.txt,24.740570500927642,-1.0031040892193308
Mediciones/Raw Data/V48.00.txt,26.32497645211933,1.4788312368972756
Mediciones/Raw Data/V50.00.txt,28.376804545454505,4.138745454545452
