9⸮5893.00
9235.00
6.12,0.41,1134
5.54,0.53,1135
4.82,0.49,1141
5.34,0.63,1153
7.37,1.00,1165
6.93,0.54,1176
5.18,0.78,1187
4.20,0.54,1199
7.34,0.37,1210
7.81,0.60,1221
4.19,0.60,1232
3.80,0.32,1244
4.90,0.64,1256
6.21,0.70,1267
7.81,0.59,1278
5.69,0.70,1290
2.89,0.91,1301
5.92,0.83,1312
7.57,0.48,1325
5.45,0.71,1336
4.87,0.45,1348
4.05,0.62,1359
6.42,0.27,1372
7.65,0.13,1383
4.71,0.58,1394
4.56,0.18,1406
5.40,0.85,1418
6.84,1.19,1430
7.89,1.03,1441
5.64,0.89,1454
4.05,0.87,1465
5.76,0.51,1477
6.85,0.32,1488
6.23,0.50,1501
4.79,0.08,1512
3.66,-0.04,1524
6.70,0.02,1536
6.89,0.12,1548
5.79,0.32,1559
5.56,0.25,1570
5.32,0.59,1583
7.87,0.69,1594
7.58,0.45,1606
4.92,0.49,1617
4.88,0.66,1630
5.31,0.65,1641
6.71,0.38,1653
7.34,0.17,1665
3.79,-0.07,1677
4.09,-0.20,1688
5.58,0.05,1700
6.49,0.44,1712
5.96,0.74,1724
3.71,0.93,1735
6.36,0.82,1746
7.65,1.05,1759
5.97,0.94,1770
4.69,0.88,1782
4.69,0.75,1794
6.64,0.34,1806
6.27,0.22,1817
5.25,0.29,1829
5.16,0.29,1841
4.71,0.27,1853
6.12,0.29,1864
6.72,0.59,1876
4.80,0.59,1888
4.87,0.75,1900
6.38,0.60,1911
6.84,0.99,1923
6.61,1.12,1935
5.37,0.77,1946
4.92,0.54,1958
7.51,0.16,1970
7.65,-0.11,1982
5.95,0.08,1993
5.43,0.36,2006
4.39,-0.04,2017
5.67,-0.45,2029
6.50,0.03,2040
5.67,0.28,2053
5.05,0.19,2064
5.19,0.69,2075
7.43,0.79,2087
5.64,1.08,2099
4.97,1.44,2111
5.10,1.33,2122
6.28,1.18,2135
7.26,0.45,2146
5.08,-0.07,2158
3.96,0.31,2169
5.69,0.08,2182
5.60,-0.24,2193
5.91,-0.16,2205
6.38,0.31,2216
4.98,0.79,2229
6.84,0.98,2240
7.80,1.19,2251
6.37,1.24,2264
5.22,1.21,2275
5.88,0.67,2287
7.83,0.49,2298
5.82,0.62,2311
5.07,0.42,2322
5.20,0.14,2334
3.89,0.02,2345
5.56,-0.13,2358
6.90,0.03,2369
4.80,0.02,2381
4.50,0.38,2393
5.22,0.62,2405
6.10,0.70,2416
7.05,0.87,2427
6.41,1.28,2440
5.28,0.71,2451
5.54,0.06,2463
5.88,0.02,2475
4.92,-0.16,2487
4.66,-0.04,2498
6.24,0.29,2510
5.78,0.41,2522
5.35,0.65,2534
5.10,0.83,2545
5.17,0.87,2557
