9⸮6336.00
-251824.00
5.88,-0.15,1134
7.14,-0.28,1136
6.22,0.26,1137
5.06,0.53,1148
4.99,0.52,1160
6.19,0.80,1172
7.33,0.85,1183
5.62,1.13,1196
4.78,0.83,1207
3.96,0.58,1219
6.01,0.31,1230
7.60,0.39,1242
4.90,0.43,1254
4.52,0.24,1265
6.39,0.21,1277
6.46,0.41,1289
5.85,0.45,1301
6.19,0.25,1312
5.61,0.50,1325
5.44,0.74,1336
7.42,0.52,1348
6.79,0.60,1359
5.71,0.52,1372
5.06,0.08,1383
5.50,0.02,1395
6.22,0.27,1406
5.61,0.37,1418
5.75,0.32,1430
5.72,0.43,1441
4.98,0.50,1454
6.06,0.33,1465
6.23,0.28,1477
4.89,0.13,1488
5.29,-0.08,1501
7.05,0.20,1512
6.76,0.27,1524
5.19,0.49,1536
5.72,0.31,1548
6.05,0.32,1559
7.28,0.53,1570
6.17,0.37,1583
5.04,0.06,1594
5.84,0.10,1606
7.72,0.41,1617
6.40,0.43,1630
4.58,0.54,1641
5.39,0.44,1653
6.48,0.40,1665
6.92,0.74,1677
6.25,0.61,1688
5.20,0.51,1700
5.39,0.93,1712
6.63,0.72,1724
7.52,0.80,1735
5.46,0.35,1746
4.26,0.28,1759
6.12,0.30,1770
6.25,0.12,1782
5.95,0.10,1794
5.59,0.34,1806
3.54,0.50,1817
5.12,0.05,1829
7.68,0.33,1841
6.14,0.53,1853
4.28,0.44,1864
4.83,0.77,1876
6.64,0.65,1888
7.18,0.19,1900
6.02,-0.22,1911
4.98,0.14,1923
6.26,0.67,1935
6.57,0.41,1946
5.39,0.26,1958
3.82,0.44,1970
6.73,0.54,1982
7.91,0.33,1993
4.56,0.69,2006
5.26,1.08,2017
6.07,0.98,2029
5.16,0.68,2040
7.76,0.32,2053
6.66,0.22,2064
4.47,0.59,2076
5.43,0.38,2087
6.40,0.09,2099
6.26,0.32,2111
5.30,0.44,2122
5.54,0.06,2135
5.19,0.47,2146
5.48,0.53,2158
6.73,0.64,2169
6.12,0.55,2182
4.50,0.84,2193
