27742.0,145668
-264733.00,927523.0,148364
-262943.00,928138.0,148375
-265557.00,928149.0,148387
-264329.00,928406.0,148399
-263899.00,928598.0,148411
-264478.00,928559.0,148422
-264589.00,928300.0,148434
-264646.00,927829.0,148446
-264351.00,927640.0,148458
-265245.00,927427.0,148469
-264784.00,927743.0,148482
-264014.00,928021.0,148493
-264807.00,928141.0,148505
-265135.00,928438.0,148516
-263836.00,928324.0,148529
-263806.00,928412.0,148540
-266050.00,928318.0,148552
-263742.00,928171.0,148563
-263144.00,927974.0,148576
-266092.00,927729.0,148587
-264824.00,927815.0,148599
-265668.00,927590.0,148611
-263200.00,927725.0,148623
-264648.00,927962.0,148634
-265037.00,927940.0,148646
-264053.00,928176.0,148658
-264272.00,928208.0,148670
-264745.00,928081.0,148681
-264476.00,927817.0,148694
-264666.00,927802.0,148705
-264700.00,927536.0,148717
-264456.00,927445.0,148728
-265241.00,927668.0,148741
-264380.00,927920.0,148752
-264141.00,928276.0,148764
-264422.00,928327.0,148775
-264069.00,928273.0,148788
-264974.00,928242.0,148799
-264166.00,928155.0,148811
-264335.00,927837.0,148823
-265431.00,927736.0,148835
-264277.00,927766.0,148846
-264235.00,927620.0,148858
-265003.00,927696.0,148870
-264626.00,927962.0,148882
-263790.00,928232.0,148893
-264528.00,928216.0,148905
-264878.00,928453.0,148917
-263802.00,928315.0,148929
-264708.00,927930.0,148940
-264837.00,927885.0,148953
-263892.00,927654.0,148964
-264695.00,927605.0,148976
-264640.00,927739.0,148987
-264506.00,927941.0,149000
-264535.00,928031.0,149011
-264699.00,928126.0,149023
-263879.00,928167.0,149035
-264272.00,928225.0,149047
-264790.00,928195.0,149058
-262440.00,927945.0,149070
-267686.00,927767.0,149082
-264122.00,927831.0,149094
-261180.00,927712.0,149105
-268514.00,927704.0,149117
-263118.00,927754.0,149129
-262613.00,928188.0,149141
-268421.00,928298.0,149152
-262245.00,928222.0,149165
-263336.00,928515.0,149176
-267139.00,928256.0,149188
-262618.00,928092.0,149199
-263983.00,927990.0,149212
-265853.00,927704.0,149223
-263594.00,927600.0,149235
-265407.00,927608.0,149246
-263889.00,927613.0,149258
-263816.00,927994.0,149270
-266538.00,928526.0,149281
-262704.00,928434.0,149294
-265642.00,928154.0,149305
-264937.00,928145.0,149317
-260962.00,928310.0,149328
-267800.00,927859.0,149341
-263835.00,927819.0,149352
-262964.00,927705.0,149364
-267512.00,927684.0,149376
-265321.00,927737.0,149388
-267011.00,927736.0,149399
-260844.00,927919.0,149411
-265577.00,928358.0,149423
-266020.00,928560.0,149435
-261728.00,928259.0,149446
-266116.00,928241.0,149458
-264251.00,927838.0,149470
-262561.00,927389.0,149482
-267714.00,927298.0,149493
-263782.00,927141.0,149506
-263425.00,927384.0,149517
-265935.00,927968.0,149529
-263203.00,928085.0,149540
-265532.00,928463.0,149553
-264986.00,928492.0,149564
-262286.00,928325.0,149576
-265362.00,928409.0,149587
-264518.00,928043.0,149600
-264633.00,927526.0,149611
-265489.00,927332.0,149623
-263734.00,927400.0,149635
-264886.00,927501.0,149647
-264361.00,927809.0,149658
-264482.00,928284.0,149670
-265184.00,928562.0,149682
-262930.00,928606.0,149694
-264608.00,928349.0,149705
-265251.00,927989.0,149718
-263539.00,927701.0,149729
-265035.00,927523.0,149741
-264959.00,927494.0,149752
-263916.00,927776.0,149765
-265040.00,928133.0,149776
-263198.00,928118.0,149788
-264714.00,928258.0,149799
-264782.00,928499.0,149812
-263814.00,928499.0,149823
-264843.00,928248.0,149835
-264700.00,927967.0,149847
-263636.00,927658.0,149859
-264589.00,927442.0,149870
-266025.00,927583.0,149882
-263990.00,927694.0,149894
-263970.00,927728.0,149906
-265305.00,927971.0,149917
-263909.00,928414.0,149929
-264367.00,928454.0,149941
-264803.00,928382.0,149953
-263447.00,928157.0,149964
-264481.00,928170.0,149977
-264904.00,928062.0,149988
-264458.00,927729.0,150000
-264753.00,927424.0,150011
-264539.00,927540.0,150024
-265261.00,927761.0,150035
-264677.00,928163.0,150047
-263623.00,928658.0,150059
-264493.00,928729.0,150071
-264063.00,928901.0,150082
-264234.00,928705.0,150094
-264779.00,928204.0,150106
-263840.00,927768.0,150118
-264366.00,927452.0,150129
-265778.00,927263.0,150141
-264585.00,927373.0,150153
-265207.00,927572.0,150165
-263971.00,927951.0,150176
-264447.00,928565.0,150189
-264500.00,928704.0,150200
-263259.00,928622.0,150212
-264201.00,928290.0,150223
-265050.00,927828.0,150236
-264652.00,927542.0,150247
-264462.00,927323.0,150259
-264385.00,927387.0,150270
-264796.00,927522.0,150283
-265077.00,927855.0,150294
-264627.00,928165.0,150306
-264509.00,928448.0,150318
-263969.00,928558.0,150330
-264291.00,928238.0,150341
-264723.00,928110.0,150353
-264502.00,927838.0,150365
-264768.00,927483.0,150377
-264434.00,927516.0,150388
-264674.00,927648.0,150401
-265204.00,927938.0,150412
-264436.00,927758.0,150424
-263756.00,927814.0,150435
-264632.00,928244.0,150448
-264438.00,928597.0,150459
-264073.00,928705.0,150471
-265002.00,928281.0,150482
-264600.00,927838.0,150495
-263919.00,927537.0,150506
-265175.00,927572.0,150518
-264889.00,927696.0,150530
-264589.00,927749.0,150542
-264383.00,927932.0,150553
-264516.00,928042.0,150565
-264229.00,928035.0,150577
-264431.00,928163.0,150588
-264316.00,928150.0,150600
-263745.00,928305.0,150611
-264796.00,928230.0,150624
-264869.00,927941.0,150635
-264608.00,927557.0,150647
-264485.00,927221.0,150659
-264133.00,927460.0,150671
-264989.00,927629.0,150682
-264779.00,928023.0,150694
