495.74,7745
176.68,1494.07,10886
176.39,1495.17,10898
176.86,1495.41,10909
178.41,1494.75,10921
181.93,1495.66,10933
175.47,1494.26,10945
174.71,1494.03,10956
177.44,1494.66,10969
178.92,1496.99,10980
179.19,1496.13,10992
176.59,1496.94,11003
176.40,1496.09,11016
177.50,1495.20,11027
178.92,1493.99,11038
176.18,1493.80,11051
177.69,1495.62,11062
178.66,1494.74,11074
181.16,1495.64,11085
177.33,1494.73,11098
173.56,1493.89,11109
178.09,1493.82,11121
178.65,1494.75,11132
179.77,1496.36,11145
176.26,1496.03,11156
175.47,1497.69,11168
179.76,1496.84,11180
177.83,1494.87,11192
177.80,1493.94,11203
175.60,1492.91,11215
176.45,1495.40,11227
180.43,1494.87,11239
178.24,1496.70,11250
179.17,1494.71,11262
175.65,1494.60,11274
175.32,1493.92,11286
179.99,1494.35,11297
179.00,1496.21,11310
175.73,1495.89,11321
176.09,1496.96,11333
180.05,1495.83,11344
178.36,1495.98,11357
177.29,1493.99,11368
175.46,1493.57,11380
174.98,1495.78,11392
180.64,1496.06,11404
179.99,1497.40,11415
176.38,1495.58,11427
175.41,1495.73,11439
179.10,1495.25,11451
178.58,1495.35,11462
175.81,1495.76,11474
176.57,1496.07,11486
177.72,1496.41,11498
181.58,1495.38,11509
177.14,1494.66,11521
174.51,1493.70,11533
176.43,1494.46,11544
179.09,1496.32,11556
179.55,1496.48,11568
176.70,1497.16,11580
176.45,1496.19,11591
176.07,1496.87,11603
178.74,1495.01,11615
178.30,1495.05,11627
175.06,1495.61,11638
176.99,1497.11,11651
177.30,1497.40,11662
179.80,1497.09,11674
178.35,1496.06,11685
174.30,1495.33,11698
176.08,1495.36,11709
178.37,1496.69,11721
179.39,1496.83,11732
177.12,1496.85,11745
176.60,1495.86,11756
178.65,1496.41,11768
176.46,1493.70,11780
178.52,1493.32,11792
176.71,1493.77,11803
177.34,1495.71,11815
2.78,1496.16,11827
-1114.92,1495.83,11839
176.74,1495.59,11850
175.65,1494.86,11863
178.64,1495.28,11874
178.11,1495.74,11886
176.58,1496.68,11897
177.47,1496.55,11910
179.33,1495.55,11921
178.23,1495.29,11933
176.81,1492.97,11944
176.09,1492.42,11957
176.11,1493.14,11968
181.13,1495.17,11979
177.57,1495.62,11992
177.14,1496.29,12003
177.74,1495.72,12015
174.83,1495.26,12026
178.31,1495.03,12039
177.55,1495.66,12050
177.60,1496.64,12062
176.97,1497.20,12073
177.91,1495.99,12086
179.31,1494.66,12097
176.74,1493.59,12109
176.34,1492.12,12121
177.19,1492.96,12133
179.47,1494.79,12144
178.68,1495.35,12156
177.79,1496.10,12168
177.97,1495.46,12180
176.88,1495.45,12191
176.98,1494.25,12204
177.91,1495.35,12215
177.83,1496.02,12227
178.06,1496.37,12238
179.18,1496.18,12251
179.00,1494.64,12262
175.00,1493.62,12274
177.79,1492.40,12285
177.27,1493.59,12298
179.34,1495.09,12309
177.53,1495.54,12321
177.31,1496.57,12333
178.51,1495.25,12345
177.09,1495.62,12356
176.98,1493.72,12368
176.61,1494.51,12380
178.13,1495.77,12392
177.96,1494.99,12403
177.98,1495.81,12416
180.08,1493.34,12427
175.90,1493.16,12438
177.11,1491.98,12450
178.47,1493.16,12462
177.75,1495.55,12474
177.76,1495.76,12485
177.49,1498.28,12497
178.58,1496.72,12509
177.33,1496.93,12521
176.34,1494.71,12532
177.51,1495.18,12545
176.37,1495.50,12556
178.98,1495.05,12568
177.86,1495.51,12579
177.76,1494.13,12592
179.28,1493.96,12603
177.25,1492.02,12615
177.55,1492.78,12626
178.78,1494.95,12639
177.78,1496.38,12650
176.53,1497.74,12662
179.48,1496.15,12674
175.66,1495.40,12686
177.03,1493.65,12697
178.61,1493.57,12709
177.54,1494.26,12721
176.96,1494.89,12733
178.30,1495.74,12744
179.72,1495.31,12756
176.86,1496.27,12768
175.76,1494.66,12780
177.35,1494.61,12791
176.54,1495.94,12804
179.77,1496.19,12815
178.61,1496.93,12827
176.20,1496.21,12838
177.08,1497.21,12851
176.94,1494.67,12862
177.81,1494.02,12874
177.38,1494.32,12886
177.30,1495.02,12898
177.72,1496.18,12909
178.06,1495.95,12920
179.48,1496.44,12933
175.56,1495.06,12944
175.55,1496.79,12956
177.74,1496.67,12967
177.79,1498.31,12980
177.84,1497.29,12991
177.13,1496.62,13003
177.13,1495.82,13015
176.75,1494.27,13027
177.47,1493.26,13038
176.79,1493.67,13050
179.79,1495.33,13062
178.13,1495.65,13074
177.64,1495.35,13085
178.64,1495.66,13097
175.08,1495.59,13109
178.11,1495.79,13121
177.62,1496.68,13132
177.93,1498.26,13145
177.45,1498.31,13156
177.69,1497.01,13168
179.41,1495.23,13179
175.81,1492.85,13192
177.44,1491.64,13203
178.32,1491.89,13215
178.66,1493.67,13227
178.04,1494.45,13239
178.64,1496.11,13250
179.06,1496.48,13262
175.24,1496.54,13274
177.95,1495.95,13286
176.65,1496.66,13297
177.31,1498.15,13309
177.98,1497.89,13321
177.27,1497.32,13333
179.14,1495.41,13344
178.32,1493.11,13357
175.43,1492.01,13368
177.82,1492.61,13379
178.89,1494.41,13391
177.90,1494.43,13403
178.08,1495.67,13415
178.21,1495.45,13426
176.52,1495.73,13438
178.10,1494.67,13450
176.18,1495.25,13462
178.30,1497.32,13473
177.34,1497.14,13486
178.63,1497.58,13497
179.55,1495.54,13509
174.25,1494.49,13520
177.83,1492.76,13533
179.20,1493.15,13544
178.16,1493.91,13556
178.29,1494.25,13568
177.57,1495.26,13580
179.29,1495.44,13591
178.56,1495.39,13603
176.40,1494.20,13615
176.12,1494.72,13627
177.99,1496.21,13638
179.37,1496.40,13650
178.31,1496.56,13662
178.93,1494.37,13674
176.42,1493.39,13685
175.22,1492.38,13698
180.58,1493.55,13709
177.89,1495.12,13721
177.91,1496.11,13732
176.80,1497.07,13745
178.00,1495.71,13756
180.94,1495.89,13768
175.24,1493.82,13779
177.58,1494.40,13792
179.27,1495.61,13803
178.59,1496.01,13815
177.15,1496.44,13827
177.45,1496.02,13839
175.86,1495.73,13850
179.25,1494.26,13861
178.08,1493.46,13874
176.79,1494.38,13885
176.52,1495.42,13897
178.48,1496.29,13908
181.20,1495.98,13921
176.98,1495.73,13932
174.05,1494.43,13944
177.63,1493.60,13956
178.07,1495.61,13968
180.21,1495.98,13979
177.55,1496.92,13991
175.71,1495.95,14003
177.85,1495.29,14015
177.83,1493.97,14026
178.64,1493.86,14039
176.89,1494.23,14050
176.69,1494.97,14062
177.77,1495.12,14073
180.73,1494.91,14086
179.74,1495.21,14097
174.52,1494.95,14109
175.47,1494.36,14120
177.58,1495.76,14133
181.26,1497.11,14144
178.37,1496.90,14156
174.48,1497.24,14168
177.64,1495.90,14180
179.61,1494.88,14191
177.92,1493.26,14203
175.33,1492.74,14215
177.29,1494.68,14227
179.98,1494.48,14238
180.84,1495.13,14251
176.52,1494.85,14262
174.19,1493.73,14274
178.21,1494.15,14285
178.90,1494.66,14298
178.85,1497.03,14309
176.36,1495.88,14320
176.53,1497.08,14332
179.01,1496.36,14344
177.93,1495.33,14356
177.58,1493.64,14367
174.67,1493.93,14380
178.48,1495.77,14391
179.39,1495.75,14403
178.55,1495.84,14414
178.68,1494.48,14427
175.05,1493.94,14438
175.81,1494.55,14450
179.88,1494.95,14461
179.08,1497.08,14474
175.93,1496.99,14485
176.58,1497.22,14497
180.23,1496.34,14509
178.18,1494.71,14521
176.13,1493.77,14532
176.75,1493.55,14544
176.66,1496.12,14556
179.72,1495.53,14568
178.11,1496.07,14579
177.86,1494.48,14592
174.98,1493.87,14603
179.58,1493.13,14615
178.09,1494.32,14626
176.97,1495.99,14639
176.91,1496.44,14650
178.54,1498.03,14662
179.23,1497.02,14673
177.80,1495.24,14686
176.01,1492.64,14697
176.50,1492.65,14709
179.67,1493.25,14721
179.17,1493.66,14733
178.18,1494.75,14744
178.99,1494.43,14756
175.77,1494.17,14768
176.86,1494.18,14780
179.12,1493.80,14791
177.11,1495.72,14802
177.16,1496.26,14815
176.73,1497.65,14826
179.90,1496.64,14838
178.67,1496.40,14850
174.41,1493.91,14862
176.92,1493.18,14873
177.94,1493.92,14885
179.48,1493.45,14897
178.46,1493.99,14909
178.46,1493.40,14920
177.42,1494.29,14932
175.75,1493.86,14944
179.59,1494.98,14956
176.70,1496.41,14967
177.28,1497.19,14980
178.41,1497.81,14991
179.37,1496.80,15003
175.09,1496.38,15014
175.75,1494.02,15027
177.06,1493.83,15038
179.55,1493.72,15050
178.57,1494.70,15062
177.16,1494.40,15074
177.02,1493.39,15085
177.95,1493.69,15097
178.04,1492.85,15109
177.94,1493.53,15121
175.67,1494.78,15132
177.74,1497.15,15144
177.64,1497.95,15156
178.92,1497.95,15168
178.91,1496.55,15179
173.94,1494.58,15192
176.52,1493.88,15203
179.32,1494.27,15215
179.06,1494.55,15226
177.89,1494.92,15239
177.27,1493.57,15250
178.55,1493.70,15261
177.61,1492.56,15273
178.99,1492.44,15285
176.19,1493.52,15297
178.07,1496.16,15308
178.07,1497.19,15321
178.34,1497.50,15332
179.22,1497.14,15344
176.05,1495.80,15355
178.42,1495.00,15368
178.88,1495.17,15379
177.38,1495.34,15391
177.26,1494.03,15403
179.31,1493.63,15415
179.25,1494.00,15426
176.50,1492.97,15438
177.12,1492.31,15450
176.46,1493.42,15462
179.99,1495.43,15473
178.73,1496.21,15485
176.75,1497.08,15497
177.44,1496.51,15509
175.64,1495.67,15520
178.50,1495.41,15533
178.37,1494.72,15544
176.36,1495.91,15556
176.56,1495.24,15567
178.92,1495.19,15580
181.21,1494.22,15591
176.97,1493.77,15603
175.45,1493.21,15614
175.76,1494.42,15627
179.42,1496.59,15638
179.93,1496.57,15650
176.59,1497.81,15662
177.40,1497.83,15674
176.20,1497.29,15685
177.35,1495.51,15697
179.09,1495.41,15709
176.06,1495.96,15720
177.03,1495.60,15732
177.77,1495.68,15744
180.02,1493.86,15756
174.30,1492.93,15768
177.46,1491.67,15779
178.68,1493.72,15791
178.01,1495.45,15803
177.87,1497.12,15814
177.14,1497.91,15826
177.43,1498.17,15838
177.20,1497.51,15850
177.65,1495.92,15861
175.19,1494.94,15874
177.87,1495.35,15885
178.90,1494.16,15897
178.16,1494.43,15908
179.61,1493.17,15921
175.88,1493.03,15932
176.63,1492.77,15944
178.98,1494.29,15955
177.92,1495.77,15968
177.32,1497.10,15979
176.57,1498.29,15991
178.94,1497.67,16003
178.49,1498.12,16015
174.92,1495.60,16026
176.59,1495.33,16038
176.43,1495.32,16050
178.41,1495.34,16062
178.65,1494.76,16073
178.18,1493.83,16086
177.12,1493.85,16097
176.49,1493.62,16109
178.65,1493.91,16120
177.17,1495.88,16133
177.14,1496.94,16144
176.62,1498.32,16156
179.82,1496.81,16167
176.00,1496.47,16180
175.35,1494.60,16191
176.85,1495.12,16202
179.00,1494.84,16215
179.17,1495.41,16226
177.46,1495.12,16238
177.85,1493.51,16249
177.51,1493.93,16262
177.68,1492.56,16273
177.79,1493.79,16285
177.35,1494.36,16296
178.04,1497.60,16309
176.60,1498.19,16320
179.43,1498.16,16332
178.34,1496.54,16344
174.23,1494.77,16356
178.32,1494.28,16367
177.65,1494.49,16379
178.74,1495.47,16391
178.45,1494.83,16403
177.41,1494.64,16414
178.76,1495.54,16427
176.28,1493.93,16438
178.60,1494.20,16450
176.28,1495.02,16461
178.34,1496.59,16474
178.37,1497.06,16485
176.69,1496.51,16497
178.94,1496.73,16508
175.91,1494.99,16521
176.86,1494.82,16532
178.08,1494.14,16544
177.32,1495.49,16556
177.43,1495.16,16568
179.15,1494.87,16579
178.91,1495.10,16591
175.04,1494.24,16603
176.62,1494.05,16615
178.05,1494.74,16626
178.78,1495.91,16638
177.88,1496.15,16650
177.99,1495.60,16661
177.75,1495.84,16673
