989625.0,7777
-298570.00,989295.0,10472
-298538.00,989388.0,10483
-302716.00,989628.0,10496
-303497.00,989890.0,10507
-300133.00,990239.0,10519
-298750.00,990559.0,10530
-299723.00,990423.0,10543
-301561.00,989937.0,10554
-302392.00,989348.0,10566
-300919.00,988399.0,10577
-299794.00,988173.0,10590
-300183.00,988387.0,10601
-302872.00,988725.0,10613
-302269.00,989009.0,10625
-299860.00,988983.0,10637
-300335.00,989234.0,10648
-300530.00,989853.0,10660
-301855.00,990161.0,10672
-298944.00,990541.0,10684
-298996.00,990601.0,10695
-301725.00,990626.0,10707
-301834.00,990644.0,10719
-300860.00,990402.0,10731
-299851.00,989909.0,10742
-299271.00,989123.0,10755
-301978.00,988617.0,10766
-303544.00,988394.0,10778
-301199.00,988444.0,10789
-299676.00,988874.0,10802
-300579.00,989305.0,10813
-301530.00,989697.0,10825
-301611.00,990028.0,10836
-300361.00,990387.0,10848
-299485.00,990782.0,10860
-300278.00,991244.0,10871
-301870.00,991249.0,10884
-301185.00,990975.0,10895
-298505.00,990884.0,10907
-299397.00,990627.0,10918
-301879.00,990052.0,10931
-302140.00,989403.0,10942
-301522.00,989090.0,10954
-299995.00,988983.0,10966
-299615.00,988807.0,10978
-302019.00,988882.0,10989
-303049.00,989199.0,11001
-300034.00,989659.0,11013
-298772.00,990188.0,11025
-300445.00,990240.0,11036
-301587.00,990311.0,11048
-300301.00,990616.0,11060
-298621.00,990818.0,11072
-300131.00,990916.0,11083
-301787.00,990464.0,11096
-301899.00,989801.0,11107
-300429.00,989394.0,11119
-299517.00,988901.0,11130
-301043.00,988817.0,11143
-302680.00,989157.0,11154
-301633.00,989542.0,11166
-299743.00,989635.0,11177
-299633.00,989654.0,11190
-300716.00,989862.0,11201
-301950.00,989786.0,11213
-301405.00,989718.0,11225
-299505.00,989688.0,11237
-299605.00,989527.0,11248
-300842.00,989564.0,11260
-301717.00,989675.0,11272
-301570.00,989389.0,11284
-300232.00,989063.0,11295
-299906.00,989081.0,11308
-300673.00,989017.0,11319
-302239.00,989161.0,11331
-302048.00,989342.0,11342
-299455.00,989516.0,11355
-299636.00,989840.0,11366
-301367.00,989882.0,11378
-301407.00,989579.0,11389
-300933.00,989358.0,11402
-300518.00,989237.0,11413
-299996.00,989364.0,11425
-300312.00,989374.0,11437
-301632.00,989161.0,11449
-300413.00,988857.0,11460
-300677.00,988635.0,11472
-302052.00,988561.0,11484
-301282.00,989079.0,11496
-301070.00,989439.0,11507
-301604.00,989644.0,11520
-300152.00,989964.0,11531
-300475.00,990077.0,11543
-301730.00,990188.0,11554
-300878.00,990328.0,11567
